2024-01-02 12:01:310 INFO  HomePage :106 - Getting Home Page URL : 
2024-01-02 12:01:581 INFO  HomePage :93 - CLicking on Contact us header tab : [[[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2024-01-02 12:01:598 INFO  ContactUsPage :55 - Getting text from welcome page : [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //h2[normalize-space()='Get In Touch']]
2024-01-02 12:01:685 INFO  ContactUsPage :61 - Sending Pinal to name field : [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //input[@placeholder='Name']]
2024-01-02 12:01:741 INFO  ContactUsPage :66 - Sending pinal12@gmail.com to email field : [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //input[@placeholder='Email']]
2024-01-02 12:01:808 INFO  ContactUsPage :71 - Sending About product to subject field : [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //input[@placeholder='Subject']]
2024-01-02 12:01:822 INFO  ContactUsPage :75 - Sending This product is nice to message field : [[ChromeDriver: chrome on windows (a8d09490758f86b5e2399b0ee691241c)] -> xpath: //textarea[@id='message']]
2024-01-02 12:01:881 INFO  HomePage :106 - Getting Home Page URL : 
2024-01-02 12:01:972 INFO  HomePage :93 - CLicking on Test Cases header tab : [[[ChromeDriver: chrome on windows (b0331ff57b1f223ff6c5ec1e0c7ad26c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b0331ff57b1f223ff6c5ec1e0c7ad26c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b0331ff57b1f223ff6c5ec1e0c7ad26c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b0331ff57b1f223ff6c5ec1e0c7ad26c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b0331ff57b1f223ff6c5ec1e0c7ad26c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b0331ff57b1f223ff6c5ec1e0c7ad26c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b0331ff57b1f223ff6c5ec1e0c7ad26c)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b0331ff57b1f223ff6c5ec1e0c7ad26c)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2024-01-02 12:01:150 INFO  HomePage :14 - Getting Home Page URL : 
2024-01-02 12:01:479 INFO  HomePage :106 - Getting Home Page URL : 
2024-01-02 12:01:505 INFO  HomePage :146 - Scroll Down to Subscription
2024-01-02 12:01:575 INFO  HomePage :168 - Sending pinal@gmail.com to subscription email field : [[ChromeDriver: chrome on windows (a48e1cd0ed7a3b2f0d8e99cae44ab87b)] -> xpath: //input[@id='susbscribe_email']]
2024-01-02 12:01:614 INFO  HomePage :173 - Clicking on subscription arrow button : [[ChromeDriver: chrome on windows (a48e1cd0ed7a3b2f0d8e99cae44ab87b)] -> xpath: //i[@class='fa fa-arrow-circle-o-right']]
2024-01-02 12:01:626 INFO  HomePage :177 - Getting subscription success message : [[ChromeDriver: chrome on windows (a48e1cd0ed7a3b2f0d8e99cae44ab87b)] -> xpath: //div[@class='alert-success alert']]
2024-01-02 12:01:110 INFO  HomePage :106 - Getting Home Page URL : 
2024-01-02 12:01:326 INFO  HomePage :93 - CLicking on Cart header tab : [[[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2024-01-02 12:01:343 INFO  HomePage :146 - Scroll Down to Subscription
2024-01-02 12:01:391 INFO  HomePage :168 - Sending pinal@gmail.com to subscription email field : [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //input[@id='susbscribe_email']]
2024-01-02 12:01:424 INFO  HomePage :173 - Clicking on subscription arrow button : [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //i[@class='fa fa-arrow-circle-o-right']]
2024-01-02 12:01:443 INFO  HomePage :177 - Getting subscription success message : [[ChromeDriver: chrome on windows (4a2521914fd358d649b37030bbb48ff8)] -> xpath: //div[@class='alert-success alert']]
2024-01-02 12:01:04 INFO  HomePage :106 - Getting Home Page URL : 
